,PCA1,PCA2,PCA3,DATE
0,-0.34200004,0.75500536,-0.44562426,2019-09-03
1,3.4549928,-0.21803106,0.5534931,2019-09-04
2,-0.4360738,-0.45084268,0.23373114,2019-09-05
3,2.4905913,0.4765626,0.14071555,2019-09-06
4,3.4183857,-1.152919,0.16459216,2019-09-09
5,0.6686624,0.7125571,0.14667317,2019-09-10
6,1.4307864,-0.7408351,0.57345957,2019-09-11
7,4.143318,-0.41090742,-0.29368857,2019-09-12
8,-1.7353462,-0.23163015,-0.20458533,2019-09-13
9,-0.6273859,-0.78624606,-0.12781347,2019-09-16
10,0.13433413,-0.2721986,0.48700228,2019-09-17
11,-0.25417042,-0.6372707,-0.067572005,2019-09-18
12,-1.6890899,0.42051375,-0.025065808,2019-09-19
13,-0.6578152,0.5187146,-0.01769743,2019-09-20
14,-2.2249196,-0.10752665,-0.20276365,2019-09-23
15,3.0406191,-0.2900221,0.10669121,2019-09-24
16,-0.8013731,0.37873736,0.31830764,2019-09-25
17,-0.98100823,1.0448694,0.060708907,2019-09-26
18,0.008564326,-0.5209533,-0.11377838,2019-09-27
19,-0.8491256,0.18330732,-0.37924004,2019-09-30
20,-2.007902,1.0976567,-0.63319474,2019-10-01
21,-2.791964,1.7042568,-0.3088804,2019-10-02
22,-0.25134683,-0.38784876,0.28428543,2019-10-03
23,1.9851934,-1.3564332,-0.14709793,2019-10-04
24,-0.5414575,0.24563114,-0.07975918,2019-10-07
25,1.0322323,1.1442789,0.41629332,2019-10-08
26,2.8683598,-0.3863367,0.19861364,2019-10-09
27,3.126713,-0.4209999,0.838944,2019-10-10
28,0.110724494,0.5005896,0.035878103,2019-10-11
29,-0.92886955,1.3912777,0.071720846,2019-10-15
30,0.343437,-0.04557047,-0.088243894,2019-10-16
31,0.026123371,0.17485206,-0.17834616,2019-10-17
32,1.4321125,-0.03469266,0.40729213,2019-10-18
33,-0.2800459,-0.34418887,0.040202145,2019-10-21
34,-0.33085716,0.01554212,-0.13697797,2019-10-22
35,0.36554912,-0.3616415,-0.15514708,2019-10-23
36,1.231155,-0.08735019,0.25512883,2019-10-24
37,1.4593138,0.37836495,0.1333463,2019-10-25
38,-0.11743322,0.03487497,0.15766066,2019-10-28
39,-1.4739356,-0.8214506,-0.08462405,2019-10-29
40,-3.144393,0.5330756,-0.26985437,2019-10-30
41,1.2870556,0.28204712,0.22526804,2019-10-31
42,2.0873518,-0.3348918,0.00256258,2019-11-01
43,2.7153907,-1.048151,-0.12822534,2019-11-04
44,-1.397654,0.49317244,0.17280878,2019-11-05
45,3.1618295,0.9706088,0.7098141,2019-11-06
46,0.5937079,0.10407367,-0.2769296,2019-11-07
47,-0.43607277,-0.450842,0.23373006,2019-11-08
48,-0.98304117,-0.23941763,-0.25261298,2019-11-12
49,-1.657336,-0.17830065,-0.30135036,2019-11-13
50,0.45673594,0.23650709,0.3700619,2019-11-14
51,-0.40299028,-0.3435205,-0.2087234,2019-11-15
52,-0.3293597,-0.44117507,0.38104942,2019-11-18
53,-1.3959216,-0.76812375,-0.18138798,2019-11-19
54,1.4034121,0.008967126,0.16320707,2019-11-20
55,0.13151053,-0.5216205,0.13514483,2019-11-21
56,0.23163699,-0.78436846,-0.028523065,2019-11-22
57,-0.56183845,-0.6995945,-0.36705288,2019-11-25
58,1.1818411,-0.18433641,0.5959761,2019-11-26
59,0.31473795,-0.0019105558,-0.3323272,2019-11-27
60,1.5086275,0.4753512,-0.207501,2019-11-29
61,-3.2465498,-0.4884694,-0.41951373,2019-12-02
62,1.5563803,0.6707807,0.49004835,2019-12-03
63,0.823362,0.11307066,0.11931518,2019-12-04
64,1.5881394,0.07195715,0.21376172,2019-12-05
65,-0.19544746,-0.018448103,0.25442538,2019-12-06
66,0.3883673,-0.09956571,0.25744557,2019-12-09
67,-1.1715286,-0.32539883,-0.26229978,2019-12-10
68,2.8703914,0.89794844,0.5119419,2019-12-11
69,-1.9141915,-0.60035866,-0.42365184,2019-12-12
70,1.7832134,0.43035305,0.53443503,2019-12-13
71,0.026124664,0.17485219,-0.17834441,2019-12-16
72,1.202456,-0.043690313,0.011045541,2019-12-17
73,-0.16824447,0.39460588,-0.019519435,2019-12-18
74,0.09316712,-0.19521411,0.10044188,2019-12-19
75,0.67321724,-0.29931766,0.14433375,2019-12-20
76,-0.587714,-0.40651265,-0.25927866,2019-12-23
77,0.17118001,-0.14188778,0.0036778848,2019-12-24
78,-0.75488275,0.22629818,-0.37439957,2019-12-26
79,1.2138331,-1.5877366,-0.55253243,2019-12-27
80,1.0891602,-0.3257665,-0.4472608,2019-12-30
81,-1.2363709,0.16609955,0.45643866,2019-12-31
82,-2.0989163,-0.66335183,-0.47420552,2020-01-02
83,0.5185175,0.30016875,0.17169178,2020-01-03
84,0.58406365,0.38682017,-0.0675493,2020-01-06
85,1.6264802,-0.25444654,0.24846537,2020-01-07
86,-0.113047935,0.18585768,-0.52887833,2020-01-08
87,-1.1272191,-0.5073871,0.729058,2020-01-09
88,0.72911793,0.07007969,0.11447298,2020-01-10
89,-0.5590149,-0.45017257,-0.015195397,2020-01-13
90,-0.6273846,-0.7862459,-0.12781174,2020-01-14
91,0.9138427,0.13307242,0.16502833,2020-01-15
92,0.92066467,-0.39909545,-0.39620936,2020-01-16
93,-1.7353473,-0.23163065,-0.2045854,2020-01-17
94,0.11527927,-0.5112851,0.033538695,2020-01-21
95,-0.63702905,-0.50349903,0.08156681,2020-01-22
96,-0.94469565,-0.56582266,-0.21791229,2020-01-23
97,-2.3588321,-0.5302503,-0.07613715,2020-01-24
98,1.2583567,0.32570705,-0.018815236,2020-01-27
99,-1.5630904,-0.13531294,-0.29650888,2020-01-28
100,-0.75205785,0.47572026,-0.022540389,2020-01-29
101,-1.8804026,0.08510936,-0.38660774,2020-01-30
102,1.0464302,-0.15034294,0.20457345,2020-01-31
103,2.3566763,0.053838775,0.2673387,2020-02-03
104,1.6536851,0.15861218,-0.025479313,2020-02-04
105,-0.031104015,-0.90068555,0.017688567,2020-02-05
106,-1.5219235,-0.21229742,0.09005156,2020-02-06
107,-1.0531402,0.6858071,-0.011034748,2020-02-07
108,1.172432,-0.7061689,-0.06686776,2020-02-10
109,1.4158812,-0.024357356,0.30568603,2020-02-11
110,-0.40887132,-0.037784323,-0.040215734,2020-02-12
111,-0.24170253,-0.67059517,0.07490513,2020-02-13
112,-1.0706974,-0.009996738,0.053528994,2020-02-14
113,0.55686104,-0.026237614,0.20639473,2020-02-18
114,-1.0610522,-0.2927427,-0.1558513,2020-02-19
115,-2.0364308,-0.021540219,-0.19307959,2020-02-20
116,-2.942109,1.2918684,-0.28386182,2020-02-21
117,-1.7274368,0.7469226,-0.059768658,2020-02-24
118,-0.42965618,0.98442596,-0.13948071,2020-02-25
119,-1.5185665,1.7781304,0.23720998,2020-02-26
120,-7.3143015,3.9027188,-0.6616894,2020-02-27
121,-1.071103,1.9574429,0.24155673,2020-02-28
122,-3.7743344,3.6704845,-0.46906915,2020-03-02
123,-1.4371952,3.8218842,0.28760254,2020-03-03
124,-3.7630205,1.7681634,0.5237769,2020-03-04
125,-5.951233,-0.19811882,2.1488779,2020-03-05
126,-5.9534354,-0.3195492,1.1513549,2020-03-06
127,7.7173085,-0.76225495,-0.9362536,2020-03-09
128,0.8637383,1.0709513,0.46734518,2020-03-10
129,2.1025348,1.4023407,-1.7437255,2020-03-11
130,1.5932269,0.8010884,0.0067214672,2020-03-12
131,-6.812392,0.036848847,-0.5043582,2020-03-13
132,7.097099,2.5425653,-0.21968606,2020-03-16
133,3.1113176,3.8759246,1.2001588,2020-03-17
134,-1.819885,-0.19909091,-1.9752312,2020-03-18
135,-5.583753,-0.9981437,0.3802398,2020-03-19
136,-4.3142676,-2.6844146,-0.13158277,2020-03-20
137,3.81803,-1.5273137,1.0278155,2020-03-23
138,0.7449453,2.0271826,0.40410614,2020-03-24
139,-1.7657793,1.0733272,-0.09447117,2020-03-25
140,-3.179507,-0.8585355,-0.14072584,2020-03-26
141,0.2743619,-0.9597912,-0.6803567,2020-03-27
142,0.6188776,-0.7671556,-0.8642009,2020-03-30
143,-1.3232338,-0.6393467,0.80111426,2020-03-31
144,0.16812265,0.41327024,0.5240448,2020-04-01
145,0.037266616,-0.5646119,0.13030253,2020-04-02
146,1.9917818,-1.084023,0.16388917,2020-04-03
147,1.7420467,0.5073383,0.1478722,2020-04-06
148,0.9920896,-0.6181815,-0.80396,2020-04-07
149,-0.76938194,-1.0246634,-0.83020186,2020-04-08
150,1.3188128,-0.3167711,-0.05101519,2020-04-09
151,-0.11893133,0.49159297,-0.360367,2020-04-13
152,-3.6980104,0.1138102,0.4892371,2020-04-14
153,-0.61138624,0.007999144,0.84601885,2020-04-15
154,1.0065894,0.6327809,-0.34815624,2020-04-16
155,-0.55242825,-0.17776145,0.29579067,2020-04-17
156,-0.64211845,-1.2326285,0.28861043,2020-04-20
157,1.2362462,0.64177936,0.048087362,2020-04-21
158,-0.2130042,-0.71425617,0.3189895,2020-04-22
159,0.008567566,-0.520952,-0.11378074,2020-04-23
160,1.8721968,0.9070732,0.06211834,2020-04-24
161,-1.2333102,-0.3890599,-0.06392985,2020-04-27
162,0.7034765,-0.4414188,-0.64997727,2020-04-28
163,0.34476274,0.6605695,-0.25441366,2020-04-29
164,0.20952359,-0.46829456,0.03838077,2020-04-30
165,0.21084937,0.23784536,-0.12778904,2020-05-01
166,0.59370834,0.104074046,-0.27693075,2020-05-04
167,1.545473,0.60566175,-0.6908254,2020-05-05
168,-2.4272008,-0.8663225,-0.18875596,2020-05-06
169,1.7875973,0.5813353,-0.15210374,2020-05-07
170,1.296701,-0.00069903256,0.01588821,2020-05-08
171,-0.80928564,-0.5998165,0.17348987,2020-05-11
172,-0.9705722,-0.2727412,-0.11013861,2020-05-12
173,-0.3131294,-0.45151103,0.48265675,2020-05-13
174,0.42145082,0.0077564935,-0.18500903,2020-05-14
175,2.9352307,0.40645272,-0.20679724,2020-05-15
176,-0.6260593,-0.0801068,-0.29398087,2020-05-18
177,-0.35805878,-0.3975152,0.13696614,2020-05-19
178,0.27789196,-0.13222136,0.1509972,2020-05-20
179,-0.24170229,-0.6705956,0.07490505,2020-05-21
180,1.0287014,0.31670955,-0.41506004,2020-05-22
181,0.16459425,-0.41429865,-0.30730984,2020-05-26
182,0.4773504,0.37715364,-0.21486858,2020-05-27
183,-1.1949676,-0.71546733,-0.029225841,2020-05-28
184,0.7622019,0.17740211,-0.32798156,2020-05-29
185,0.62240595,0.060413267,-0.032846365,2020-06-01
186,2.283753,0.7296406,0.15706268,2020-06-02
187,1.2458906,0.3590325,-0.16129301,2020-06-03
188,2.428809,0.4129005,0.33908492,2020-06-04
189,-0.4426594,-0.7232529,-0.07725684,2020-06-05
190,-1.2074343,-0.6821421,-0.17170408,2020-06-08
191,-2.0084364,-0.6433505,-0.428492,2020-06-09
192,-1.6035291,-1.45147,0.9118863,2020-06-10
193,0.94480896,0.5691196,-0.14978743,2020-06-11
194,0.054823585,0.1311927,0.06573897,2020-06-12
195,1.4733412,0.24659935,-0.7625709,2020-06-15
196,0.0372664,-0.56461143,0.13030267,2020-06-16
197,-0.5016172,-0.53749263,0.47297117,2020-06-17
198,-0.14613232,0.078534864,-0.08642262,2020-06-18
199,0.1777668,0.13052377,0.31466448,2020-06-19
200,0.5091079,-0.22166435,-0.49115226,2020-06-22
201,-0.6179737,-0.26441216,0.5350323,2020-06-23
202,-0.10779017,-0.24787217,-0.05171893,2020-06-24
203,-0.88729817,-0.65314287,0.27025428,2020-06-25
204,-0.0025748983,0.21851246,-0.42242804,2020-06-26
205,0.6224065,0.06041352,-0.032846328,2020-06-29
206,0.82336235,0.11307069,0.11931561,2020-06-30
207,-0.13648841,-0.20421165,-0.2958034,2020-07-01
208,0.63487506,0.027089357,0.10963004,2020-07-02
209,-1.0816686,-0.43338978,0.42908007,2020-07-06
210,0.5443939,0.0070872284,0.06391808,2020-07-07
211,-1.0595556,-0.7494602,0.36217564,2020-07-08
212,0.74534947,0.059744366,0.21607956,2020-07-09
213,0.19329213,-0.45795882,-0.063225284,2020-07-10
214,-0.25417143,-0.6372717,-0.06757137,2020-07-13
215,0.26675102,0.6072433,-0.15765092,2020-07-14
216,-0.28969136,-0.06144261,0.24958369,2020-07-15
217,0.62240684,0.0604139,-0.032847513,2020-07-16
218,-0.09532109,-0.28119612,0.09075749,2020-07-17
219,-0.09814534,-0.530619,-0.26109892,2020-07-20
220,-0.19544622,-0.018450934,0.2544247,2020-07-21
221,-0.313129,-0.45151067,0.48265553,2020-07-22
222,0.32587984,-0.7413746,-0.023680238,2020-07-23
223,0.6973622,0.66889787,0.390757,2020-07-24
224,-0.77244,-0.46950576,-0.30983496,2020-07-27
225,0.009893282,0.18518794,-0.2799505,2020-07-28
226,-0.86974055,0.04266158,0.20569043,2020-07-29
227,-0.042244345,-0.1612207,-0.29096115,2020-07-30
228,0.72253114,-0.2023316,-0.19651332,2020-07-31
229,-0.6052719,-1.1023173,-0.19471548,2020-08-03
230,0.7753748,0.72222435,0.2939931,2020-08-04
231,0.1411549,-0.8043675,-0.07423579,2020-08-05
232,0.8071311,0.12340603,0.017709438,2020-08-06
233,0.5060495,0.33349374,0.029214704,2020-08-07
234,1.7413414,-0.07080919,-0.3316237,2020-08-10
235,1.1198888,0.9148592,0.11014956,2020-08-11
236,1.079513,-0.04302178,-0.23788002,2020-08-12
237,-0.031273052,0.262173,-0.6665125,2020-08-13
238,-0.17333487,-0.33452305,0.18752259,2020-08-14
239,-0.46477082,-0.4071816,-0.010353186,2020-08-17
240,0.63487387,0.027088704,0.10963076,2020-08-18
241,-0.860097,-0.24008536,-0.0036901638,2020-08-19
242,0.06596591,-0.60827154,0.3743863,2020-08-20
243,0.48849252,-0.3623108,0.093778305,2020-08-21
244,0.9572763,0.5357951,-0.0073090186,2020-08-24
245,-0.0025748399,0.21851225,-0.4224281,2020-08-25
246,1.7810103,0.30892408,-0.46309078,2020-08-26
247,-0.10928686,0.20884582,-0.56974745,2020-08-27
248,-0.25134683,-0.38784876,0.28428543,2020-08-28
249,-0.88729954,-0.6531435,0.270255,2020-08-31
250,-0.29101628,-0.76758164,0.41575238,2020-09-01
251,-0.7533848,-0.23041892,0.14362936,2020-09-02
